sem_empresa,corrigido
362,ACA 362
K.100 ANOS,KLEIN CIEN AÑOS
K.GEMINIS,KLEIN GEMINIS
K.MINERVA,KLEIN MINERVA
K.TITANIO CL,KLEIN TITANIO CL
K.SELENIO CL,KLEIN SELENIO
K.FAVORITO II,KLEIN FAVORITO 2
MS INTA 119,MS INTA119
B.DESTELLO,BUCK DESTELLO
B.RESPLANDOR,BUCK RESPLANDOR
BUCK EXP 400528,BUCK EXP 400528
B.PEREGRINO,BUCK PEREGRINO
B.CUMELEN,BUCK CUMELEN
SY 109,SY109
B.CAMBA,BUCK CAMBA
B.COLIHUE,BUCK COLIHUE
RGT QUIRICO,RGT QUIRIKO
K. CIEN ANOS,KLEIN CIEN ANOS
KLEIN SELENIO CL,KLEIN SELENIO
KLEIN FAVORITO II,KLEIN FAVORITO 2
KLEIN PROMETEO,KLEIN PROMETEO
PAMPERO,PAMPERO
ARLASK,LG ARLASK
BUCK CAMBA,BUCK CAMBA
NANDUBAY,NANDUBAY
K.LIEBRE,KLEIN LIEBRE
K.PROMETEO,KLEIN PROMETEO
K.NUTRIA,KLEIN NUTRIA
K.POTRO,KLEIN POTRO
K.VALOR,KLEIN VALOR
MS INTA B 817,MS INTA BONAERENSE 817
GINKO,GINGKO
LG PAMPERO,LG PAMPERO
B. BRAVIO,BUCK BRAVIO
B.SAETA,BUCK SAETA
B.FULGOR,BUCK FULGOR
MS INTA B. 817,MS INTA BONAERENSE 817
LGWA11 PAMPERO,LGWA11 PAMPERO
HO CARCARNA,HO CARCARAÑA
KLEIN 100 ANOS,KLEIN CIEN AÑOS
LGZAINO,LG ZAINO
HO CARCARANA,HO CARCARAÑA
BUCK MUTISIA,BUCK MUTISIA
BUCK AMANCAY,BUCK AMANCAY
B CUMELEN,BUCK CUMELEN
B DESTELLO,BUCK DESTELLO
B PACIFICO,BUCK PACIFICO
B PEREGRINO,BUCK PEREGRINO
B 620,BAGUETTE 620
B 680,BAGUETTE 680
B 750,BBAGUETTE 750
B 820,BAGUETTE 820
B COLIHUE,BUCK COLIHUE
K CIEN ANOS,KLEIN CIEN AÑOS
K FAVORITO II,KLEIN FAVORITO 2
K GEMINIS,KLEIN GEMINIS
K LIEBRE,KLEIN LIEBRE
K PROMETEO,KLEIN PROMETEO	
MS INTA 215,MS INTA BONAERENSE 215
BRAVIO CL2,BRAVIO CL2
B FULGOR,BUCK FULGOR
B METEORO,BUCK METEORO
B MUTISIA,BUCK MUTISIA
B SAETA,BUCK SAETA
K NUTRIA,KLEIN NUTRIA
K POTRO,KLEIN POTRO
K VALOR,KLEIN VALOR
MS INTA 817,MS INTA BONAERENSE 817
B AMANCAY,BUCK AMANCAY
B BRAVIO CL2,BUCK BRAVIO CL2
B 450,BUCK 450
B 550,BAGUETTE 550
A'ANDUBAY,ÑANDUBAY
B.PACIFICO,BUCK PACIFICO
QUIRIKO,QUIRIKO
B.METEORO,BUCK METEORO
BG 620,BAGUETTE 620
BG 680,BAGUETTE 680
BG 750,BAGUETTE 750
ACA 365,365
BAG 620,BAGUETTE 620
BAG 680,BAGUETTE 680
BAG 750,BAGUETTE 750
B RESPLANDOR,BUCK RESPLANDOR
B CAMBA,BUCK CAMBA
KL FAVORITO,KLEIN FAVORITO
KL CIEN ANOS,KLEIN CIEN ANOS
KL GEMINIS,KLEIN GEMINIS
KL MINERVA,KLEIN MINERVA
KL SELENIO CL,KLEIN SELENIO
KL TITAN CL,KLEIN TITAN CL
MS 119,MS INTA119
ACA 915,ACA 915
ACA 916,ACA 916
BAG 450,BAGUETTE 450
BAG 550,BAGUETTE 550
BBRAVIO CL2,BUCK BRAVIO CL2
BIO 1006,BIOINTA 1006
BIO 1008,BIOCERES 1008
KL LIEBRE,KLEIN LIEBRE
KL NUTRIA,KLEIN NUTRIA
KL POTRO,KLEIN POTRO
KL PROMETEO,KLEIN PROMETEO
KL VALOR,KLEIN VALOR
MS 415,MS INTA 415
MS 815,MS INTA 815
MSB 817,MS INTA BONAERENSE 817
HOATUEL,HO ATUEL
ACA360,ACA 360
ACA362,ACA 362
ALGARR,ALGARROBO
ALHAM,ALHAMBRA
BCAMBA,BUCK CAMBA
BPACIFICO,BUCK PACIFICO
BRESPL,BUCK RESPLENDOR
KLEIN FAVORITO,KLEIN FAVORITO
JACARAN,JACARANDA
KL.CIEN,KLEIN CIEN AÑOS
KLGEMINIS,KLEIN GEMINIS
KLMINE,KLEIN MINERVA
KLSELENIO,KLEIN SELENIO
KLEIN TITAN CL,KLEIN TITAN CL
LGARLAS,LG ARLASK
MS119,MS INTA119
RGTQUIRI,RGT QUIRIKO
SY120,SY 120
SY200,SY 200
SY211,SY 211
HOCARC,HO CARCARAÑA
ACA308,ACA 308
ACA602,ACA 602
ACA604,ACA 604
MS415,MS INTA 415
NANDUB,ÑANDUBAY
ACA917,ACA 917
BFULGOR,BUCK FULGOR
BIO1006,BIOINTA 1006
BIO1008,BIOCERES 1008
BSAETA,BUCK SAETA
ISHORNERO,IS HORNERO
ISTORDO,IS TORDO
KLPOTRO,KLEIN POTRO
KLVALOR,KLEIN VALOR
MS815,MS INTA 815 
MSB817,MS INTA BONAERENSE 817
SY330,SY 330
MS INTA BONAERENSE 119,MS INTA119
MS INTA BONAERENSE 122,MS INTA MDA BONAERENSE 122
MS INTA BONAERENSE 221,MS INTA BONAERENSE 221
"KLEIN SELENIO
CL",KLEIN SELENIO
BIOINTA 1008,BIOCERES 1008
"BUCK MUTISIA
MUTISIA",BUCK MUTISIA
"BUCK PRETAL
PRETAL",BUCK PRETAL
"BUCK SAETA
SAETA",BUCK PRETAL
"IS HORNERO
HORNERO",BUCK SAETA
"KLEIN NUTRIA
NUTRIA",BUCK SAETA
MS INTA BONAERENSE 415,IS HORNERO
MS INTA BONAERENSE 521,IS HORNERO
BUCK AIMARA,KLEIN NUTRIA
PROMEDIO,KLEIN NUTRIN
MAXIMO,MS INTA BONAERENSE 415
MINIMO,MS INTA BONAERENSE 521
CV%,BUCK AIMARA
MS INTA 221,MS INTA 221
SARANDI,SARANDI
MINERVA,KLEIN MINERVA
KLEIN TITANIO,KLEIN TITANIO
TERO,IS TERO
TORDO,IS TORDO
HORNERO,IS HORNERO
AUDAZ,TBIO AUDAZ
ZAINO,LG ZAINO
FAVORITO II,KLEIN FAVORITO 2
PROMETEO,KLEIN PROMETEO
GEMINIS,KLEIN GEMINIS
100 ANOS,KLEIN CIEN AÑOS
PACIFICO,BUCK PACIFICO
SELENIO,KLEIN SELENIO
NIANDUBAY,ÑANDUBAY
BRAVIO,BUCK BRAVIO CL2
SYN 120,SY 120
B 370502,370502
ACA 462,ACA 462
MUTISIA,MUTISIA
POTRO,KLEIN POTRO
VALOR,KLEIN VALOR
NUTRIA,KLEIN NUTRIA
ZAETA,ZAETA
ELITE 43,ELITE 43
BUCK AUDAZ,TBIO AUDAZ
GINKGO,GINKGO
FULGOR,BUCK FULGOR
INTA 817,MS INTA BONAERENSE 817
COLIHUE,BUCK COLIHUE
ELITE 17,ELITE 17
BUCK FAVORITO II,BUCK FAVORITO 2
KLEIN.POTRO,KLEIN POTRO
BUCK.HORNERO,IS HORNERO
SP 12,SP 12
EXP. ARCE,EXP. ARCE
K.SELENIO,KLEIN SELENIO
B.CUMULEN,BUCK CUMULEN
LIEBRE,KLEIN LIEBRE
MS INTA BON 817,MS INTA BONAERENSE 817
MS INTA 122,MS INTA MDA BONAERENSE 122
MS INTA MDA BONAERENSE 221,MS INTA MDA BONAERENSE 221
ACA363,ACA 363
ACA364,ACA 364
ACA502,ACA 502
ACA605,ACA 605
BAIMARA,BAIMARA
ISTERO,IS TERO
LGMORO,LG MORO
MS122,MS INTA MDA BONAERENSE 122
MS221,MS INTA221
MS521,MS INTA 521
ACA921,ACA 921
BPRETAL,BUCK PRETAL
BAG525,BAGUETTE 525
BCOLIHUE,BUCK COLIHUE
BCUMELEN,BUCK CUMELEN
BDESTELLO,BUCK DESTELLO
BPEREGRINO,BUCK PEREGRINO
HOCARCARANA,HO CARCARAÑA
KLCIENANOS,KLEIN CIEN AÑOS
KLMINERVA,KLEIN MINERVA
KLSELENIO CL,KLEIN SELENIO
LGLIMAY,LIMAY
MSINTA BONAERENSE 122,MS INTA MDA BONAERENSE 122
ACA460,460
ACA603,603
ACA916,916
ACA920,920
BMUTISIA,BMUTISIA
KLFAVORITO,KLEIN FAVORITO
KLPROMETEO,KLEIN PROMETEO
LGARLASK,LG ARLASK
RGTQUIRICO,RGT QUIRIKO
B.AIMARA,BUCK AIMARA
B.PRETAL,BUCK PRETAL
B.AMANCAY,BUCK AMANCAY
B.MUTISIA,BUCK MUTISIA
BAYO,LGBAYO
TUC ELITE 17,TUC ELITE 17
TUC ELITE 43,TUC ELITE 43
TUC GRANIVO,TUC GRANIVO
CANARIO,IS CANARIO
NEO 30T23,NEO30T23
PICASSO,LG PICAZO
LG BAYO,LGBAYO
NEO 50T23,NEO50T23
MS INTA 324,MS INTA 324
MS INTA 423,MS INTA 423
IMS INTA 415,MS INTA 415
MORO,LG MORO
AIMARA,AIMARA
PRETAL,BUCK PRETAL
QUIRICO,RGT QUIRIKO
PICAZO,LG PICAZO
B370502,370502
TUC ELITTE 17,TUC ELITTE 17
TUC ELITTE 43,TUC ELITTE 43
BUCK PEHUEN,PEHUEN
BUCK ZAETA,BUCK ZAETA
BUCK PICAZO,LG PICAZO
ACA607,ACA 607
LG LIMAY,LIMAY
LG ZONDA,ZONDA
MS INTA B 324,MS INTA MDA BOANERENSA 324
MS INTA B 423,MS INTA MDA BONAERENSE 423
BAGUETTE 610,610 BAGUETTE
BIO BASILIO,BIO BASILIO
