titular,empresa,variedade,tipo_ciclo,inicio_ret,NºRNC,grupo__qualidade,ano_class_qualidade
ACA,ACA,ACA 360 ,L,2013,14471,GRUPO DE CALIDAD 1,2021
ACA,ACA,365,L,2018,17983,GRUPO DE CALIDAD 1,2021
ACA,ACA,920,C,2018,17986,GRUPO DE CALIDAD 1,2021
ASOCIADOS DON MARIO,ADM,HORNERO IS,C,2021,20492,GRUPO DE CALIDAD 1,2021
ACA,ASOCIADOS DON MARIO,CAMBIUM ,C,2013,14474,GRUPO DE CALIDAD 1,2021
BIOTRIGO,ASOCIADOS DON MARIO,TBIO AUDAZ,C,2019,17458,GRUPO DE CALIDAD 1,2021
BUCK SEMILLAS S.A.,BUCK SEMILLAS S.A.,BUCK METEORO ,I,2007,10658,GRUPO DE CALIDAD 1,2021
BUCK SEMILLAS S.A.,BUCK SEMILLAS S.A.,BUCK SAETA,C,2015,15754,GRUPO DE CALIDAD 1,2021
BUCK SEMILLAS S.A.,BUCK SEMILLAS S.A.,BUCK CLARAZ,C,2016,16333,GRUPO DE CALIDAD 1,2021
BUCK SEMILLAS S.A.,BUCK SEMILLAS S.A.,BUCK DESTELLO,L,2017,17282,GRUPO DE CALIDAD 1,2021
BUCK SEMILLAS S.A.,BUCK SEMILLAS S.A.,BUCK CAMBÁ,C,2018,17978,GRUPO DE CALIDAD 1,2021
BUCK SEMILLAS S.A.,BUCK SEMILLAS S.A.,BUCK RESPLANDOR,L,2019,18645,GRUPO DE CALIDAD 1,2021
BUCK SEMILLAS S.A.,BUCK SEMILLAS S.A.,BUCK FULGOR,C,2021,20345,GRUPO DE CALIDAD 1,2021
BUCK SEMILLAS S.A.,CAPELLONI,BUCK GLUTINO ,C,2007,10015,GRUPO DE CALIDAD 1,2021
BUCK SEMILLAS S.A.,CAPELLONI,BUCK GUATIMOZIN,L,2002,7355,GRUPO DE CALIDAD 1,2021
BUCK SEMILLAS S.A.,CAPELLONI,BUCK NORTEÑO,L,2006,9525,GRUPO DE CALIDAD 1,2021
CRIADERO KLEIN S.A.,CRIADERO KLEIN S.A.,KLEIN CIEN AÑOS,L,2019,18693,GRUPO DE CALIDAD 1,2021
CRIADERO KLEIN S.A.,CRIADERO KLEIN S.A.,KLEIN PROTEO,I,2003,8093,GRUPO DE CALIDAD 1,2021
