"","nome_doc","epoca","ciclo","fungicida","cultivar","rep_i","rep_ii","rep_iii","rep_iv","rep_v","subregiao","localidade","coordenador_a","colaborador_a","subregiao_abrev","subregiao_nome","desenho_experimental","num_total_cultivares_intervinientes","num_total_de_parcelas_por_ensaio","comprimento_medio_m","largura_m","distancia_entre_fileras_cm","numero_de_fileras","solo","materia_organica_percentual","nitrogeno_ppm","fosforo_ppm","potasio_ppm","tipo","textura","nan_mg_kg","cultivo_antecesor","densidad_sementes_m2","densidad_sementes_kg_ha","sistema","uso_de_fertilizante","uso_de_irrigacao","uso_de_herbicida","uso_de_fungicida","uso_de_insecticida","uso_de_outros_produtos","chuvas_janeiro","chuvas_fevereiro","chuvas_marco","chuvas_abril","chuvas_maio","chuvas_junho","chuvas_julho","chuvas_agosto","chuvas_setembro","chuvas_outubro","chuvas_novembro","chuvas_dezembro","temp_janeiro","temp_fevereiro","temp_marco","temp_abril","temp_maio","temp_junho","temp_julho","temp_agosto","temp_setembro","temp_outubro","temp_novembro","temp_dezembro"
"1","Dados/Dados_Brutos/2021-2022/ret_2021_pampa_mesopotamica_pme_iii_ex._sbrg._iii_inta_parana","1","LARGO","SIN FUNGICIDA","DM SAUCE",6000,5325,4616.66666666667,NA,NA,"1 Pampeana","Paraná","Bainotti, Carlos","Gieco, Lucrecia C., Schutt, Lorena S.","PME III","Pampa mesopotâmica","BCA",74,"111/135/105/72","5","1.14","21",6,"Molisol",NA,NA,NA,NA,"Argiudol Ácuico Serie Tezanos Pintos.","Arcillo limoso",NA,"Maiz",NA,NA,"Maquina","400 K/HA UREA (200 siembra+200 fin macollaje); 130 KG/PDA; 150 K/HA YESO AGRICOLA","No","glifosato 2,5 l/ha, metsulfuron (7gr./ha) + dicamba (200cc/ha)","Elatus Ace 600 cc/ha + Miravis 200 cc/ha + 1 l  aceite mineral","No","No",178,21.5,153,210.3,66.6,19.8,32.2,11,53.6,53.1,121.1,"49",24.8774193548387,"23.9410714285714","22.341935483871","20.585","15.2258064516129","12.435","12.791935483871","15.2435483870968","17.2566666666667","19.4096774193548","22.4166666666667","26.2983870967742"
"2","Dados/Dados_Brutos/2021-2022/ret_2021_pampa_mesopotamica_pme_iii_ex._sbrg._iii_inta_parana","1","LARGO","SIN FUNGICIDA","DM ALGARROBO",4475,3216.66666666667,3325,NA,NA,"1 Pampeana","Paraná","Bainotti, Carlos","Gieco, Lucrecia C., Schutt, Lorena S.","PME III","Pampa mesopotâmica","BCA",74,"111/135/105/72","5","1.14","21",6,"Molisol",NA,NA,NA,NA,"Argiudol Ácuico Serie Tezanos Pintos.","Arcillo limoso",NA,"Maiz",NA,NA,"Maquina","400 K/HA UREA (200 siembra+200 fin macollaje); 130 KG/PDA; 150 K/HA YESO AGRICOLA","No","glifosato 2,5 l/ha, metsulfuron (7gr./ha) + dicamba (200cc/ha)","Elatus Ace 600 cc/ha + Miravis 200 cc/ha + 1 l  aceite mineral","No","No",178,21.5,153,210.3,66.6,19.8,32.2,11,53.6,53.1,121.1,"49",24.8774193548387,"23.9410714285714","22.341935483871","20.585","15.2258064516129","12.435","12.791935483871","15.2435483870968","17.2566666666667","19.4096774193548","22.4166666666667","26.2983870967742"
"3","Dados/Dados_Brutos/2021-2022/ret_2021_pampa_mesopotamica_pme_iii_ex._sbrg._iii_inta_parana","1","LARGO","SIN FUNGICIDA","DM PEHUEN",6500,6133.33333333333,6333.33333333333,NA,NA,"1 Pampeana","Paraná","Bainotti, Carlos","Gieco, Lucrecia C., Schutt, Lorena S.","PME III","Pampa mesopotâmica","BCA",74,"111/135/105/72","5","1.14","21",6,"Molisol",NA,NA,NA,NA,"Argiudol Ácuico Serie Tezanos Pintos.","Arcillo limoso",NA,"Maiz",NA,NA,"Maquina","400 K/HA UREA (200 siembra+200 fin macollaje); 130 KG/PDA; 150 K/HA YESO AGRICOLA","No","glifosato 2,5 l/ha, metsulfuron (7gr./ha) + dicamba (200cc/ha)","Elatus Ace 600 cc/ha + Miravis 200 cc/ha + 1 l  aceite mineral","No","No",178,21.5,153,210.3,66.6,19.8,32.2,11,53.6,53.1,121.1,"49",24.8774193548387,"23.9410714285714","22.341935483871","20.585","15.2258064516129","12.435","12.791935483871","15.2435483870968","17.2566666666667","19.4096774193548","22.4166666666667","26.2983870967742"
"4","Dados/Dados_Brutos/2021-2022/ret_2021_pampa_mesopotamica_pme_iii_ex._sbrg._iii_inta_parana","1","LARGO","SIN FUNGICIDA","DM MAITEN",5450,5250,5091.66666666667,NA,NA,"1 Pampeana","Paraná","Bainotti, Carlos","Gieco, Lucrecia C., Schutt, Lorena S.","PME III","Pampa mesopotâmica","BCA",74,"111/135/105/72","5","1.14","21",6,"Molisol",NA,NA,NA,NA,"Argiudol Ácuico Serie Tezanos Pintos.","Arcillo limoso",NA,"Maiz",NA,NA,"Maquina","400 K/HA UREA (200 siembra+200 fin macollaje); 130 KG/PDA; 150 K/HA YESO AGRICOLA","No","glifosato 2,5 l/ha, metsulfuron (7gr./ha) + dicamba (200cc/ha)","Elatus Ace 600 cc/ha + Miravis 200 cc/ha + 1 l  aceite mineral","No","No",178,21.5,153,210.3,66.6,19.8,32.2,11,53.6,53.1,121.1,"49",24.8774193548387,"23.9410714285714","22.341935483871","20.585","15.2258064516129","12.435","12.791935483871","15.2435483870968","17.2566666666667","19.4096774193548","22.4166666666667","26.2983870967742"
"5","Dados/Dados_Brutos/2021-2022/ret_2021_pampa_mesopotamica_pme_iii_ex._sbrg._iii_inta_parana","1","LARGO","SIN FUNGICIDA","FRESNO",6100,6533.33333333333,5316.66666666667,NA,NA,"1 Pampeana","Paraná","Bainotti, Carlos","Gieco, Lucrecia C., Schutt, Lorena S.","PME III","Pampa mesopotâmica","BCA",74,"111/135/105/72","5","1.14","21",6,"Molisol",NA,NA,NA,NA,"Argiudol Ácuico Serie Tezanos Pintos.","Arcillo limoso",NA,"Maiz",NA,NA,"Maquina","400 K/HA UREA (200 siembra+200 fin macollaje); 130 KG/PDA; 150 K/HA YESO AGRICOLA","No","glifosato 2,5 l/ha, metsulfuron (7gr./ha) + dicamba (200cc/ha)","Elatus Ace 600 cc/ha + Miravis 200 cc/ha + 1 l  aceite mineral","No","No",178,21.5,153,210.3,66.6,19.8,32.2,11,53.6,53.1,121.1,"49",24.8774193548387,"23.9410714285714","22.341935483871","20.585","15.2258064516129","12.435","12.791935483871","15.2435483870968","17.2566666666667","19.4096774193548","22.4166666666667","26.2983870967742"
"6","Dados/Dados_Brutos/2021-2022/ret_2021_pampa_mesopotamica_pme_iii_ex._sbrg._iii_inta_parana","1","LARGO","SIN FUNGICIDA","ACA 308",6316.66666666667,5716.66666666667,5250,NA,NA,"1 Pampeana","Paraná","Bainotti, Carlos","Gieco, Lucrecia C., Schutt, Lorena S.","PME III","Pampa mesopotâmica","BCA",74,"111/135/105/72","5","1.14","21",6,"Molisol",NA,NA,NA,NA,"Argiudol Ácuico Serie Tezanos Pintos.","Arcillo limoso",NA,"Maiz",NA,NA,"Maquina","400 K/HA UREA (200 siembra+200 fin macollaje); 130 KG/PDA; 150 K/HA YESO AGRICOLA","No","glifosato 2,5 l/ha, metsulfuron (7gr./ha) + dicamba (200cc/ha)","Elatus Ace 600 cc/ha + Miravis 200 cc/ha + 1 l  aceite mineral","No","No",178,21.5,153,210.3,66.6,19.8,32.2,11,53.6,53.1,121.1,"49",24.8774193548387,"23.9410714285714","22.341935483871","20.585","15.2258064516129","12.435","12.791935483871","15.2435483870968","17.2566666666667","19.4096774193548","22.4166666666667","26.2983870967742"
"7","Dados/Dados_Brutos/2021-2022/ret_2021_pampa_mesopotamica_pme_iii_ex._sbrg._iii_inta_parana","1","LARGO","SIN FUNGICIDA","CEDRO",4825,4158.33333333333,4358.33333333333,NA,NA,"1 Pampeana","Paraná","Bainotti, Carlos","Gieco, Lucrecia C., Schutt, Lorena S.","PME III","Pampa mesopotâmica","BCA",74,"111/135/105/72","5","1.14","21",6,"Molisol",NA,NA,NA,NA,"Argiudol Ácuico Serie Tezanos Pintos.","Arcillo limoso",NA,"Maiz",NA,NA,"Maquina","400 K/HA UREA (200 siembra+200 fin macollaje); 130 KG/PDA; 150 K/HA YESO AGRICOLA","No","glifosato 2,5 l/ha, metsulfuron (7gr./ha) + dicamba (200cc/ha)","Elatus Ace 600 cc/ha + Miravis 200 cc/ha + 1 l  aceite mineral","No","No",178,21.5,153,210.3,66.6,19.8,32.2,11,53.6,53.1,121.1,"49",24.8774193548387,"23.9410714285714","22.341935483871","20.585","15.2258064516129","12.435","12.791935483871","15.2435483870968","17.2566666666667","19.4096774193548","22.4166666666667","26.2983870967742"
"8","Dados/Dados_Brutos/2021-2022/ret_2021_pampa_mesopotamica_pme_iii_ex._sbrg._iii_inta_parana","1","LARGO","SIN FUNGICIDA","365",5216.66666666667,4866.66666666667,4883.33333333333,NA,NA,"1 Pampeana","Paraná","Bainotti, Carlos","Gieco, Lucrecia C., Schutt, Lorena S.","PME III","Pampa mesopotâmica","BCA",74,"111/135/105/72","5","1.14","21",6,"Molisol",NA,NA,NA,NA,"Argiudol Ácuico Serie Tezanos Pintos.","Arcillo limoso",NA,"Maiz",NA,NA,"Maquina","400 K/HA UREA (200 siembra+200 fin macollaje); 130 KG/PDA; 150 K/HA YESO AGRICOLA","No","glifosato 2,5 l/ha, metsulfuron (7gr./ha) + dicamba (200cc/ha)","Elatus Ace 600 cc/ha + Miravis 200 cc/ha + 1 l  aceite mineral","No","No",178,21.5,153,210.3,66.6,19.8,32.2,11,53.6,53.1,121.1,"49",24.8774193548387,"23.9410714285714","22.341935483871","20.585","15.2258064516129","12.435","12.791935483871","15.2435483870968","17.2566666666667","19.4096774193548","22.4166666666667","26.2983870967742"
"9","Dados/Dados_Brutos/2021-2022/ret_2021_pampa_mesopotamica_pme_iii_ex._sbrg._iii_inta_parana","1","LARGO","SIN FUNGICIDA","ACA 360",4783.33333333333,4791.66666666667,5316.66666666667,NA,NA,"1 Pampeana","Paraná","Bainotti, Carlos","Gieco, Lucrecia C., Schutt, Lorena S.","PME III","Pampa mesopotâmica","BCA",74,"111/135/105/72","5","1.14","21",6,"Molisol",NA,NA,NA,NA,"Argiudol Ácuico Serie Tezanos Pintos.","Arcillo limoso",NA,"Maiz",NA,NA,"Maquina","400 K/HA UREA (200 siembra+200 fin macollaje); 130 KG/PDA; 150 K/HA YESO AGRICOLA","No","glifosato 2,5 l/ha, metsulfuron (7gr./ha) + dicamba (200cc/ha)","Elatus Ace 600 cc/ha + Miravis 200 cc/ha + 1 l  aceite mineral","No","No",178,21.5,153,210.3,66.6,19.8,32.2,11,53.6,53.1,121.1,"49",24.8774193548387,"23.9410714285714","22.341935483871","20.585","15.2258064516129","12.435","12.791935483871","15.2435483870968","17.2566666666667","19.4096774193548","22.4166666666667","26.2983870967742"
"10","Dados/Dados_Brutos/2021-2022/ret_2021_pampa_mesopotamica_pme_iii_ex._sbrg._iii_inta_parana","1","LARGO","SIN FUNGICIDA","362",5150,5016.66666666667,5625,NA,NA,"1 Pampeana","Paraná","Bainotti, Carlos","Gieco, Lucrecia C., Schutt, Lorena S.","PME III","Pampa mesopotâmica","BCA",74,"111/135/105/72","5","1.14","21",6,"Molisol",NA,NA,NA,NA,"Argiudol Ácuico Serie Tezanos Pintos.","Arcillo limoso",NA,"Maiz",NA,NA,"Maquina","400 K/HA UREA (200 siembra+200 fin macollaje); 130 KG/PDA; 150 K/HA YESO AGRICOLA","No","glifosato 2,5 l/ha, metsulfuron (7gr./ha) + dicamba (200cc/ha)","Elatus Ace 600 cc/ha + Miravis 200 cc/ha + 1 l  aceite mineral","No","No",178,21.5,153,210.3,66.6,19.8,32.2,11,53.6,53.1,121.1,"49",24.8774193548387,"23.9410714285714","22.341935483871","20.585","15.2258064516129","12.435","12.791935483871","15.2435483870968","17.2566666666667","19.4096774193548","22.4166666666667","26.2983870967742"
