"","X","epoca","ciclo","fungicida","cultivar","rep_i","rep_ii","rep_iii","rep_iv","empresa","inicio_ret","grupo__qualidade","data_de_plantio","data_de_espigacao","data_de_maturacao","dias_do_plantio_a_espigacao","dias_da_espigacao_a_maturacao","dias_do_plantio_a_maturacao","localidade","subregiao_abrev","subregiao_nome","desenho_experimental","num_total_cultivares_testados","num_total_de_parcelas_por_ensaio","comprimento_medio_m","largura_m","distancia_entre_fileras_cm","numero_de_fileras","solo","materia_organica_percentual","nitrogeno_ppm","fosforo_ppm","potasio_ppm","tipo","textura","nan_mg_kg","cultivo_antecesor","densidad_sementes_m2","densidad_sementes_kg_ha","sistema_de_plantio","uso_de_fertilizante","uso_de_irrigacao","uso_de_herbicida","uso_de_fungicida","uso_de_insecticida","uso_de_outros_produtos","chuvas_janeiro","chuvas_fevereiro","chuvas_marco","chuvas_abril","chuvas_maio","chuvas_junho","chuvas_julho","chuvas_agosto","chuvas_setembro","chuvas_outubro","chuvas_novembro","chuvas_dezembro","temp_janeiro","temp_fevereiro","temp_marco","temp_abril","temp_maio","temp_junho","temp_julho","temp_agosto","temp_setembro","temp_outubro","temp_novembro","temp_dezembro","ano"
"1",1,1,"LARGO","SIN FUNGICIDA","FRESNO",6100,6533.33333333333,5316.66666666667,NA,"ACA",2021,"Grupo de qualidade 2","19-05-2021",NA,NA,NA,NA,NA,"Paraná","PME III","Pampa mesopotâmica","DBCA",74,"111/135/105/72","5","1.14","21",6,"Molisol",NA,NA,NA,NA,"Argiudol Ácuico Serie Tezanos Pintos","Arcillo Limoso",NA,"Maíz",NA,NA,"Maquina","400 K/HA UREA (200 siembra+200 fin macollaje); 130 KG/PDA; 150 K/HA YESO AGRICOLA","No","glifosato 2,5 l/ha, metsulfuron (7gr./ha) + dicamba (200cc/ha)","Elatus Ace 600 cc/ha + Miravis 200 cc/ha + 1 l  aceite mineral","No","No",178,21.5,153,210.3,66.6,19.8,32.2,11,53.6,53.1,121.1,"49",24.8774193548387,"23.9410714285714","22.341935483871","20.585","15.2258064516129","12.435","12.791935483871","15.2435483870968","17.2566666666667","19.4096774193548","22.4166666666667","26.2983870967742",2021
"2",2,1,"LARGO","SIN FUNGICIDA","ACA 308",6316.66666666667,5716.66666666667,5250,NA,"ACA",2021,"Grupo de qualidade 3","19-05-2021",NA,NA,NA,NA,NA,"Paraná","PME III","Pampa mesopotâmica","DBCA",74,"111/135/105/72","5","1.14","21",6,"Molisol",NA,NA,NA,NA,"Argiudol Ácuico Serie Tezanos Pintos","Arcillo Limoso",NA,"Maíz",NA,NA,"Maquina","400 K/HA UREA (200 siembra+200 fin macollaje); 130 KG/PDA; 150 K/HA YESO AGRICOLA","No","glifosato 2,5 l/ha, metsulfuron (7gr./ha) + dicamba (200cc/ha)","Elatus Ace 600 cc/ha + Miravis 200 cc/ha + 1 l  aceite mineral","No","No",178,21.5,153,210.3,66.6,19.8,32.2,11,53.6,53.1,121.1,"49",24.8774193548387,"23.9410714285714","22.341935483871","20.585","15.2258064516129","12.435","12.791935483871","15.2435483870968","17.2566666666667","19.4096774193548","22.4166666666667","26.2983870967742",2021
"3",3,1,"LARGO","SIN FUNGICIDA","CEDRO",4825,4158.33333333333,4358.33333333333,NA,"ACA",2013,"Grupo de qualidade 3","19-05-2021",NA,NA,NA,NA,NA,"Paraná","PME III","Pampa mesopotâmica","DBCA",74,"111/135/105/72","5","1.14","21",6,"Molisol",NA,NA,NA,NA,"Argiudol Ácuico Serie Tezanos Pintos","Arcillo Limoso",NA,"Maíz",NA,NA,"Maquina","400 K/HA UREA (200 siembra+200 fin macollaje); 130 KG/PDA; 150 K/HA YESO AGRICOLA","No","glifosato 2,5 l/ha, metsulfuron (7gr./ha) + dicamba (200cc/ha)","Elatus Ace 600 cc/ha + Miravis 200 cc/ha + 1 l  aceite mineral","No","No",178,21.5,153,210.3,66.6,19.8,32.2,11,53.6,53.1,121.1,"49",24.8774193548387,"23.9410714285714","22.341935483871","20.585","15.2258064516129","12.435","12.791935483871","15.2435483870968","17.2566666666667","19.4096774193548","22.4166666666667","26.2983870967742",2021
"4",4,1,"LARGO","SIN FUNGICIDA","365",5216.66666666667,4866.66666666667,4883.33333333333,NA,"ACA",2018,"Grupo de qualidade 1","19-05-2021",NA,NA,NA,NA,NA,"Paraná","PME III","Pampa mesopotâmica","DBCA",74,"111/135/105/72","5","1.14","21",6,"Molisol",NA,NA,NA,NA,"Argiudol Ácuico Serie Tezanos Pintos","Arcillo Limoso",NA,"Maíz",NA,NA,"Maquina","400 K/HA UREA (200 siembra+200 fin macollaje); 130 KG/PDA; 150 K/HA YESO AGRICOLA","No","glifosato 2,5 l/ha, metsulfuron (7gr./ha) + dicamba (200cc/ha)","Elatus Ace 600 cc/ha + Miravis 200 cc/ha + 1 l  aceite mineral","No","No",178,21.5,153,210.3,66.6,19.8,32.2,11,53.6,53.1,121.1,"49",24.8774193548387,"23.9410714285714","22.341935483871","20.585","15.2258064516129","12.435","12.791935483871","15.2435483870968","17.2566666666667","19.4096774193548","22.4166666666667","26.2983870967742",2021
"5",5,1,"LARGO","SIN FUNGICIDA","ACA 360",4783.33333333333,4791.66666666667,5316.66666666667,NA,"ACA",2013,"Grupo de qualidade 1","19-05-2021",NA,NA,NA,NA,NA,"Paraná","PME III","Pampa mesopotâmica","DBCA",74,"111/135/105/72","5","1.14","21",6,"Molisol",NA,NA,NA,NA,"Argiudol Ácuico Serie Tezanos Pintos","Arcillo Limoso",NA,"Maíz",NA,NA,"Maquina","400 K/HA UREA (200 siembra+200 fin macollaje); 130 KG/PDA; 150 K/HA YESO AGRICOLA","No","glifosato 2,5 l/ha, metsulfuron (7gr./ha) + dicamba (200cc/ha)","Elatus Ace 600 cc/ha + Miravis 200 cc/ha + 1 l  aceite mineral","No","No",178,21.5,153,210.3,66.6,19.8,32.2,11,53.6,53.1,121.1,"49",24.8774193548387,"23.9410714285714","22.341935483871","20.585","15.2258064516129","12.435","12.791935483871","15.2435483870968","17.2566666666667","19.4096774193548","22.4166666666667","26.2983870967742",2021
"6",6,1,"LARGO","SIN FUNGICIDA","ACA 362",5150,5016.66666666667,5625,NA,"ACA",2020,"Grupo de qualidade 2","19-05-2021",NA,NA,NA,NA,NA,"Paraná","PME III","Pampa mesopotâmica","DBCA",74,"111/135/105/72","5","1.14","21",6,"Molisol",NA,NA,NA,NA,"Argiudol Ácuico Serie Tezanos Pintos","Arcillo Limoso",NA,"Maíz",NA,NA,"Maquina","400 K/HA UREA (200 siembra+200 fin macollaje); 130 KG/PDA; 150 K/HA YESO AGRICOLA","No","glifosato 2,5 l/ha, metsulfuron (7gr./ha) + dicamba (200cc/ha)","Elatus Ace 600 cc/ha + Miravis 200 cc/ha + 1 l  aceite mineral","No","No",178,21.5,153,210.3,66.6,19.8,32.2,11,53.6,53.1,121.1,"49",24.8774193548387,"23.9410714285714","22.341935483871","20.585","15.2258064516129","12.435","12.791935483871","15.2435483870968","17.2566666666667","19.4096774193548","22.4166666666667","26.2983870967742",2021
"7",7,1,"LARGO","SIN FUNGICIDA","KLEIN CIEN AÑOS",5225,5300,5100,NA,"CRIADERO KLEIN",2019,"Grupo de qualidade 1","19-05-2021",NA,NA,NA,NA,NA,"Paraná","PME III","Pampa mesopotâmica","DBCA",74,"111/135/105/72","5","1.14","21",6,"Molisol",NA,NA,NA,NA,"Argiudol Ácuico Serie Tezanos Pintos","Arcillo Limoso",NA,"Maíz",NA,NA,"Maquina","400 K/HA UREA (200 siembra+200 fin macollaje); 130 KG/PDA; 150 K/HA YESO AGRICOLA","No","glifosato 2,5 l/ha, metsulfuron (7gr./ha) + dicamba (200cc/ha)","Elatus Ace 600 cc/ha + Miravis 200 cc/ha + 1 l  aceite mineral","No","No",178,21.5,153,210.3,66.6,19.8,32.2,11,53.6,53.1,121.1,"49",24.8774193548387,"23.9410714285714","22.341935483871","20.585","15.2258064516129","12.435","12.791935483871","15.2435483870968","17.2566666666667","19.4096774193548","22.4166666666667","26.2983870967742",2021
"8",8,1,"LARGO","SIN FUNGICIDA","KLEIN GEMINIS",6158.33333333333,5050,5325,NA,"CRIADERO KLEIN",2020,"Grupo de qualidade 3","19-05-2021",NA,NA,NA,NA,NA,"Paraná","PME III","Pampa mesopotâmica","DBCA",74,"111/135/105/72","5","1.14","21",6,"Molisol",NA,NA,NA,NA,"Argiudol Ácuico Serie Tezanos Pintos","Arcillo Limoso",NA,"Maíz",NA,NA,"Maquina","400 K/HA UREA (200 siembra+200 fin macollaje); 130 KG/PDA; 150 K/HA YESO AGRICOLA","No","glifosato 2,5 l/ha, metsulfuron (7gr./ha) + dicamba (200cc/ha)","Elatus Ace 600 cc/ha + Miravis 200 cc/ha + 1 l  aceite mineral","No","No",178,21.5,153,210.3,66.6,19.8,32.2,11,53.6,53.1,121.1,"49",24.8774193548387,"23.9410714285714","22.341935483871","20.585","15.2258064516129","12.435","12.791935483871","15.2435483870968","17.2566666666667","19.4096774193548","22.4166666666667","26.2983870967742",2021
"9",9,1,"LARGO","SIN FUNGICIDA","KLEIN MINERVA",4900,4633.33333333333,4433.33333333333,NA,"CRIADERO KLEIN",2017,"Grupo de qualidade 1","19-05-2021",NA,NA,NA,NA,NA,"Paraná","PME III","Pampa mesopotâmica","DBCA",74,"111/135/105/72","5","1.14","21",6,"Molisol",NA,NA,NA,NA,"Argiudol Ácuico Serie Tezanos Pintos","Arcillo Limoso",NA,"Maíz",NA,NA,"Maquina","400 K/HA UREA (200 siembra+200 fin macollaje); 130 KG/PDA; 150 K/HA YESO AGRICOLA","No","glifosato 2,5 l/ha, metsulfuron (7gr./ha) + dicamba (200cc/ha)","Elatus Ace 600 cc/ha + Miravis 200 cc/ha + 1 l  aceite mineral","No","No",178,21.5,153,210.3,66.6,19.8,32.2,11,53.6,53.1,121.1,"49",24.8774193548387,"23.9410714285714","22.341935483871","20.585","15.2258064516129","12.435","12.791935483871","15.2435483870968","17.2566666666667","19.4096774193548","22.4166666666667","26.2983870967742",2021
"10",10,1,"LARGO","SIN FUNGICIDA","KLEIN TITANIO CL",4825,4933.33333333333,4800,NA,"CRIADERO KLEIN",2014,"Grupo de qualidade 2","19-05-2021",NA,NA,NA,NA,NA,"Paraná","PME III","Pampa mesopotâmica","DBCA",74,"111/135/105/72","5","1.14","21",6,"Molisol",NA,NA,NA,NA,"Argiudol Ácuico Serie Tezanos Pintos","Arcillo Limoso",NA,"Maíz",NA,NA,"Maquina","400 K/HA UREA (200 siembra+200 fin macollaje); 130 KG/PDA; 150 K/HA YESO AGRICOLA","No","glifosato 2,5 l/ha, metsulfuron (7gr./ha) + dicamba (200cc/ha)","Elatus Ace 600 cc/ha + Miravis 200 cc/ha + 1 l  aceite mineral","No","No",178,21.5,153,210.3,66.6,19.8,32.2,11,53.6,53.1,121.1,"49",24.8774193548387,"23.9410714285714","22.341935483871","20.585","15.2258064516129","12.435","12.791935483871","15.2435483870968","17.2566666666667","19.4096774193548","22.4166666666667","26.2983870967742",2021
